DT,TYPE,NKB,S_UAH,S_FXU,S_FXD
2018-05-01,LFONET,96,3094827165.2300005,38167273.380000025,1455097.4071834492
2018-05-01,LFONET,97,140205700.59,159513148.31,6081313.857729646
2018-05-01,LFONET,101,63784036.9,4680817.729999997,178452.51020709216
2018-05-01,LFONET,105,137108803.85000005,224658680.45000005,8564936.252306376
2018-05-01,LFONET,106,142728511.07,48699968.33999999,1856648.1539282026
2018-05-01,LFONET,113,58921566.39999999,1463237.3799999997,55784.779188538996
2018-05-01,LFONET,115,4844299878.02,65739270.75000012,2506258.2141008005
2018-05-01,LFONET,123,26478557.07,3979099.369999999,151700.04727784128
2018-05-01,LFONET,128,1863333.9500000004,124713.13000000025,4754.590413048061
2018-05-01,LFONET,129,7999672.899999999,11090059.439999998,422799.8310487205
2018-05-01,LFONET,133,5102068.419999999,0,0.0
2018-05-01,LFONET,136,2767371847.67,909571317.1600003,34676694.14240852
2018-05-01,LFONET,142,2756029854.54,0.040000000153668225,0.0015249686875904445
2018-05-01,LFONET,143,36266629.79,2780381.3,105999.85962663354
2018-05-01,LFONET,146,3071055.91,1355984.57,51695.849801565375
2018-05-01,LFONET,153,132481259.49999997,56150546.50000001,2140695.611410837
2018-05-01,LFONET,171,3338167943.93,9726370.930000007,370810.2745679412
2018-05-01,LFONET,205,38873763.39,2764009.570000002,105375.70024178771
2018-05-01,LFONET,231,47362420.10999999,6333.129999999999,241.4456215042238
2018-05-01,LFONET,240,20758713.32,0,0.0
2018-05-01,LFONET,241,86374808.64999999,700252.02,26696.559865104264
2018-05-01,LFONET,242,239173836.15,983667082.9800003,37501537.18672332
2018-05-01,LFONET,251,25240875.700000003,16990379.519999996,647744.9133049585
2018-05-01,LFONET,270,305556768.01,75069503.58999997,2861966.0342202196
2018-05-01,LFONET,272,9035458498.36,467859706.04000026,17836784.891769372
2018-05-01,LFONET,274,1755502926.2,78551572.07999969,2994717.168444272
2018-05-01,LFONET,286,34637248.63,0,0.0
2018-05-01,LFONET,288,31527777.88000001,3598074.1399999987,137173.7587812938
2018-05-01,LFONET,290,3354140.1899999995,888191.1000000001,33861.59010694873
2018-05-01,LFONET,295,11570100.840000002,9384709.520000001,357784.70088139747
2018-05-01,LFONET,296,3956482266.2400002,671156821.0099998,25587328.189308986
2018-05-01,LFONET,297,55315941.85,0,0.0
2018-05-01,LFONET,298,36548581.36,36552345.69000002,1393529.553721349
2018-05-01,LFONET,305,25776580.32,0,0.0
2018-05-01,LFONET,311,1037897.3200000001,0.0,0.0
2018-05-01,LFONET,320,34384540.949999996,0.0,0.0
2018-05-01,LFONET,325,930183628.36,0,0.0
2018-05-01,LFONET,326,6669000.749999999,0.0,0.0
2018-05-01,LFONET,329,3.725290298461914e-09,0.0,5.820766091346741e-11
2018-05-01,LFONET,331,2169123.7799999993,-0.009999999892897904,-0.0003812421637121588
2018-05-01,LFONET,377,60488189.28999999,0,0.0
2018-05-01,LFONET,381,3230532.5499999993,0,0.0
2018-05-01,LFONET,386,596794455.7300003,0,0.0
2018-05-01,LFONET,389,22771950.870000005,114995.14000000001,4384.099654872903
2018-05-01,LFONET,392,22099833.26,0,0.0
2018-05-01,LFONET,394,185122017.69,0,0.0
2018-05-01,LFONET,395,4081585.3899999997,0,0.0
2018-05-01,LFONET,430,1501219.6199999996,0,0.0
2018-05-01,LFONET,553,591600.0,0,0.0
2018-05-01,LFONET,634,3520448.0600000005,0,0.0
2018-05-01,LFONET,694,56562410.370000005,0,0.0
2018-05-01,LFONET,774,1229639.22,0,0.0
2018-05-01,LSGNET,2,12947627763.729996,48065972283.87999,1832477550.7981362
2018-05-01,LSGNET,5,3885620389.6599994,3042085925.349998,115977143.51598382
2018-05-01,LSGNET,6,38816654506.17999,27879133587.189987,1062870134.6661711
2018-05-01,LSGNET,29,515327306.8400001,7404742.280000001,282300.00045367825
2018-05-01,LSGNET,36,26132267726.57,7909686440.09,301550601.1136771
2018-05-01,LSGNET,43,70241387.14,19492204.73,743125.0401495659
2018-05-01,LSGNET,46,5770121000.03004,1869044928.5399973,71255874.17132686
2018-05-01,LSGNET,49,358059519.35,19802842.05,754967.8447011552
2018-05-01,LSGNET,62,4598107658.190001,5196396753.62,198108556.71055412
2018-05-01,LSGNET,72,9768946.299999999,0,0.0
2018-05-01,LSGNET,88,3073215028.7199993,1722746055.31,65678344.20235693
2018-05-01,LSGNET,91,560656235.8899999,421093827.0199999,16053872.378497833
2018-05-01,LSGNET,95,99272343.4,191866190.64000002,7314748.259505597
2018-05-01,LSGNET,96,10061162.229999997,61048846.370000005,2327439.4578858363
2018-05-01,LSGNET,97,856626747.6899999,205442613.34,7832338.742664091
2018-05-01,LSGNET,101,1080039254.3600001,1005675445.7499998,38340588.78163658
2018-05-01,LSGNET,105,767222075.7800001,335570989.38000005,12793381.170075681
2018-05-01,LSGNET,106,6444792159.36,9080145927.860003,346173452.44787407
2018-05-01,LSGNET,113,777875986.8199999,119117512.92999999,4541261.894422073
2018-05-01,LSGNET,115,8640746209.269997,9601790296.130001,366060735.4660859
2018-05-01,LSGNET,123,572501887.8000001,321184597.1,12244911.231001608
2018-05-01,LSGNET,128,81915671.52,0,0.0
2018-05-01,LSGNET,129,59471858.25999999,0,0.0
2018-05-01,LSGNET,133,472491688.88,68657094.78,2617497.9701713836
2018-05-01,LSGNET,136,13139719894.089998,3036629364.46,115769116.40531944
2018-05-01,LSGNET,142,37889457.269999996,50873748.230000004,1939521.8098541726
2018-05-01,LSGNET,143,303722131.1,362182684.66,13807931.211865539
2018-05-01,LSGNET,146,278331849.44,78108693.81,2977832.781237487
2018-05-01,LSGNET,153,364449044.47,271129704.51,10336607.651141457
2018-05-01,LSGNET,171,11135995423.2,4327367582.589999,164977500.13905805
2018-05-01,LSGNET,205,320727243.93,66428831.57000001,2532547.1803386398
2018-05-01,LSGNET,231,314198965.66999996,107502.52999999374,4098.449766406789
