DT,TYPE,S_UAH,S_FXU,S_FXD
2018-09-01,LFONET,96131263548.16002,8845823828.569988,312800563.4825757
2018-09-01,LSGNET,221790419879.01007,185865913021.91013,6572475718.731952
2018-09-01,OVDPp,252042584500.0,122535520186.98,4333025448.38428
2018-10-01,DFOOS,251034493286.35016,240752309878.3399,8507671244.203612
2018-10-01,DSG,245844822790.67004,160363886192.98996,5666916441.475803
2018-10-01,DSNBp,24704000000,0,0.0
2018-10-01,LFONET,98213367856.93988,8704282171.669998,307590698.3852931
2018-10-01,LSGNET,226756995549.60992,191928539819.81992,6782343729.089088
2018-10-01,OVDPp,251100282500.0,120531013675.69003,4259307998.3389077
2018-11-01,DFOOS,250062720451.6798,239155890376.4399,8491413848.479902
2018-11-01,DSG,247531046128.60007,157008062714.40988,5574692038.559482
2018-11-01,DSNBp,29903000000,0,0.0
2018-11-01,LFONET,101028511980.94005,8554811281.250005,303745154.9714986
2018-11-01,LSGNET,226735543321.06998,197125213928.81995,6999082350.867522
2018-11-01,OVDPp,247341003300.0,118877584723.12003,4220840087.203591
2018-12-01,DFOOS,251435426935.99988,238309333054.52997,8393853821.16127
2018-12-01,DSG,236475241609.6302,148627421530.0099,5235031436.446323
2018-12-01,DSNBp,18102000000,0,0.0
2018-12-01,LFONET,103771780154.83989,8389073794.58,295484269.22300404
2018-12-01,LSGNET,233116507928.6999,205196838736.53995,7227548526.287897
2018-12-01,OVDPp,238685194300.0,119291037637.54997,4201730243.9226007
2019-01-01,DFOOS,261201757220.22,232583397791.85992,8400071517.371398
2019-01-01,DSG,273836946215.22046,145982476078.63986,5272359295.57159
2019-01-01,DSNBp,58147000000,0,0.0
2019-01-01,LFONET,104670523241.02023,8031776313.529999,290078724.8174899
2019-01-01,LSGNET,231230317506.97025,204666523393.61023,7391814936.2347145
2019-01-01,OVDPp,249136456400.0,127269234880.21,4596504673.612257
2019-02-01,DFOOS,262891954538.81976,233753756606.8899,8421882007.524269
2019-02-01,DSG,271957217905.0099,141582315865.50003,5101049822.170546
2019-02-01,DSNBp,61927000000,0,0.0
